surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
80.2,2013,2,BE,0,0,3,23,,10,1,0,,0,0,0,1,1,,1,0,0,1,1,0,0,,56
80.2,2013,2,BE,1,0,3,19,,9,1,0,,0,0,0,0,1,,0,0,0,1,1,0,0,,33
80.2,2013,2,BE,0,0,2,18,,9,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,22
80.2,2013,2,BE,0,0,3,19,,10,1,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,79
80.2,2013,2,BE,0,0,3,19,,9,1,1,,0,1,0,1,0,,0,1,0,1,1,0,0,,33
80.2,2013,2,BE,0,0,3,17,,9,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,73
80.2,2013,2,BE,0,0,3,23,,9,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,50
80.2,2013,2,BE,2,0,3,19,,9,2,0,,0,0,0,0,1,,0,1,0,1,0,0,0,,43
80.2,2013,2,BE,0,0,3,20,,9,1,1,,0,0,1,1,1,,0,0,0,1,1,0,0,,41
80.2,2013,2,BE,0,0,3,16,,9,1,1,,0,0,0,1,0,,0,0,0,1,1,0,0,,53
80.2,2013,2,BE,0,0,3,19,,10,1,1,,1,1,0,1,0,,0,1,0,1,1,0,0,,33
80.2,2013,2,BE,1,0,2,21,,9,1,0,,0,0,0,1,1,,0,0,0,1,1,0,0,,44
80.2,2013,2,BE,1,0,3,20,,10,1,0,,0,0,0,1,1,,0,0,0,1,1,0,0,,33
80.2,2013,2,BE,0,0,2,19,,9,2,0,,0,0,0,0,1,,0,1,0,1,1,0,0,,24
80.2,2013,2,BE,0,0,3,21,,10,1,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,23
80.2,2013,2,BE,0,0,2,15,,6,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,37
80.2,2013,2,BE,2,1,3,21,,7,1,1,,0,1,0,1,1,,0,0,0,1,0,0,0,,37
80.2,2013,2,BE,0,0,3,20,,10,2,1,,1,1,0,1,0,,0,1,1,1,1,0,0,,62
80.2,2013,2,BE,2,1,2,23,,10,1,0,,1,1,0,1,0,,0,1,1,1,1,0,0,,41
80.2,2013,2,BE,0,0,2,23,,9,1,0,,1,0,0,1,0,,0,1,1,1,1,0,0,,41
80.2,2013,2,BE,0,0,7,20,,10,2,1,,0,0,0,0,0,,0,0,0,0,0,0,0,,57
80.2,2013,2,BE,0,0,2,29,,5,2,0,,1,0,0,0,0,,1,0,0,0,0,0,0,,67
80.2,2013,2,BE,0,0,3,19,,8,1,0,,1,1,0,0,0,,0,0,0,1,0,0,0,,68
80.2,2013,2,BE,2,0,7,21,,8,2,0,,0,0,0,1,0,,0,0,0,0,0,0,0,,34
80.2,2013,2,BE,0,0,3,23,,10,1,0,,1,1,0,1,1,,1,1,0,1,1,0,0,,26
80.2,2013,2,BE,0,0,2,18,,9,1,0,,0,1,0,1,0,,1,0,0,1,0,0,0,,59
80.2,2013,2,BE,0,0,3,18,,8,1,0,,1,1,0,0,1,,1,1,1,1,1,0,0,,67
80.2,2013,2,BE,1,1,3,22,,5,2,1,,0,0,0,0,0,,0,0,0,1,1,0,0,,37
80.2,2013,2,BE,0,0,3,14,,3,2,0,,0,1,0,0,0,,0,0,0,0,1,0,0,,90
80.2,2013,2,BE,0,0,3,16,,5,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,60
80.2,2013,2,BE,0,0,3,18,,7,2,1,,0,1,0,0,0,,0,1,0,1,1,0,0,,71
80.2,2013,2,BE,0,0,3,14,,7,2,0,,0,1,0,0,0,,1,0,0,0,0,0,0,,84
80.2,2013,2,BE,0,0,3,18,,5,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,63
80.2,2013,2,BE,0,0,2,23,,7,2,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,54
80.2,2013,2,BE,0,0,3,19,,6,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,53
80.2,2013,2,BE,0,0,2,21,,4,2,0,,0,0,0,0,1,,0,0,0,1,0,0,0,,28
80.2,2013,2,BE,2,0,2,18,,4,2,0,,0,0,0,1,0,,0,0,0,1,0,0,0,,32
80.2,2013,2,BE,0,0,3,23,,7,1,0,,0,0,0,0,1,,0,0,0,1,1,0,0,,36
80.2,2013,2,BE,0,0,3,98,,5,2,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,23
80.2,2013,2,BE,0,0,2,27,,7,2,1,,0,1,0,1,0,,0,0,0,0,0,0,0,,43
80.2,2013,2,BE,0,0,3,23,,6,1,0,,1,1,0,1,0,,0,0,0,0,1,0,0,,48
80.2,2013,2,BE,2,1,3,23,,10,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,45
80.2,2013,2,BE,1,0,3,98,,6,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,19
80.2,2013,2,BE,0,0,3,23,,10,1,0,,1,1,0,1,1,,0,0,0,1,1,0,0,,60
80.2,2013,2,BE,0,0,3,14,,11,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,70
80.2,2013,2,BE,0,0,3,14,,8,2,1,,1,1,1,1,0,,0,1,0,0,0,0,0,,51
80.2,2013,2,BE,0,0,3,14,,7,1,0,,1,0,1,1,0,,0,0,0,0,0,0,0,,69
80.2,2013,2,BE,0,0,3,19,,7,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,87
