v6,v7,v557,v570,v571,v572,v573,v574,v575,v576,v577,v578,v579,v580,v581,v582,v583,v592,v595,v605,v607,v624
2,BE,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,26,43,1,1,3
2,BE,7,2,0,0,0,0,1,0,0,0,0,1,1,0,0,14,76,0,0,3
2,BE,8,1,0,1,0,0,1,0,0,0,0,1,0,0,0,14,45,0,0,3
2,BE,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,24,38,2,0,3
2,BE,8,1,0,1,0,0,1,0,0,0,0,1,0,0,0,21,38,0,1,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,0,0,0,98,21,0,0,3
2,BE,8,1,1,0,0,0,1,0,0,0,1,1,1,1,0,18,46,0,0,3
2,BE,7,1,0,1,0,0,0,0,0,1,0,1,1,0,0,21,72,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,1,0,1,1,0,0,18,58,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,16,58,0,0,3
2,BE,8,2,0,0,0,0,0,0,0,0,0,1,1,0,0,14,83,0,0,3
2,BE,9,2,0,1,0,0,1,0,0,1,0,1,0,0,0,99,61,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,99,53,0,0,3
2,BE,4,1,1,1,0,0,0,0,0,1,0,1,1,0,0,99,64,0,0,3
2,BE,7,2,1,1,0,0,0,0,0,0,0,1,0,0,0,22,22,0,0,3
2,BE,8,2,0,1,0,0,0,0,0,0,0,1,1,0,0,26,26,2,0,3
2,BE,7,1,0,0,1,0,1,0,0,1,0,1,1,0,0,99,58,0,0,3
2,BE,8,1,0,1,0,0,1,0,0,1,0,1,1,0,0,99,51,0,0,3
2,BE,7,1,1,0,1,0,0,0,1,0,1,1,1,0,0,99,36,2,0,3
2,BE,8,2,0,0,0,0,0,0,0,1,0,1,1,0,0,14,82,0,0,3
2,BE,5,2,1,0,1,0,1,0,0,1,0,1,0,0,0,17,69,0,0,3
