country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d8,d11,d40b,d40c,d60
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,16,84,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,85,0,0,3
2,BE,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,19,56,0,0,3
2,BE,7,1,0,0,1,0,1,1,1,1,1,1,1,0,0,20,52,0,0,3
2,BE,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,18,43,0,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21,39,2,0,3
2,BE,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,23,23,0,0,3
2,BE,7,1,0,0,1,0,0,0,0,1,0,1,0,0,0,21,53,0,0,3
2,BE,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19,35,1,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,22,24,0,0,3
2,BE,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,78,0,0,3
2,BE,7,1,0,0,0,0,0,1,0,0,0,1,0,0,0,26,54,0,0,3
2,BE,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,21,53,0,0,3
2,BE,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,15,84,0,0,3
2,BE,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,18,57,0,0,3
2,BE,7,2,0,0,1,0,1,0,1,1,0,1,1,0,0,19,49,0,1,3
2,BE,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,18,38,0,1,3
2,BE,10,1,0,1,0,0,1,0,0,0,0,1,0,0,0,18,52,0,0,3
2,BE,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21,87,0,0,3
2,BE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,38,0,2,3
2,BE,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,16,76,0,0,3
2,BE,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,16,81,0,0,3
2,BE,5,1,0,0,0,0,0,0,0,1,0,1,1,0,0,18,37,1,1,3
2,BE,9,1,0,0,1,0,1,0,0,0,1,1,1,0,0,21,38,2,0,3
2,BE,7,1,0,1,1,0,1,0,0,0,0,1,1,0,0,18,49,0,0,3
2,BE,7,1,0,1,0,0,1,0,0,0,0,1,1,0,0,16,45,0,0,3
2,BE,10,1,0,0,0,0,1,0,0,1,0,1,1,0,0,17,57,0,0,3
2,BE,10,1,0,0,1,0,1,0,1,0,0,1,1,0,0,21,44,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,60,0,0,3
2,BE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,40,0,2,3
2,BE,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,79,0,0,3
2,BE,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,70,0,0,3
2,BE,6,1,0,1,1,0,0,0,0,0,0,0,1,0,0,19,47,0,0,3
2,BE,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,16,53,0,0,2
2,BE,7,1,0,0,0,0,1,0,0,1,1,1,1,0,0,23,50,0,0,2
2,BE,10,2,0,1,1,0,1,1,1,0,0,1,0,0,0,24,69,0,0,3
2,BE,7,1,0,0,1,0,1,1,0,1,0,1,1,0,0,21,48,0,0,3
2,BE,6,1,1,0,0,0,1,1,0,0,0,1,1,0,0,18,63,0,0,3
2,BE,7,2,0,0,0,0,1,0,0,0,0,1,1,0,0,16,56,0,0,3
2,BE,6,2,0,1,0,0,1,0,0,1,0,1,1,0,0,18,56,0,0,3
2,BE,8,1,0,1,1,0,1,0,0,1,0,1,1,0,0,21,52,0,0,3
