country,isocntry,qa2,qa5,qa6_1,qa6_2,qa6_3,qa6_4,qa6_5,qa6_6,qa6_7,qa6_8,qa6_9,qa6_10,qa6_11,qa6_12,qa6_13,d1,d11,d8,d40b,d40c,d60
2,BE,10,1,1,1,0,0,1,0,0,1,0,1,1,0,0,5,41,17,1,0,2
2,BE,5,2,1,1,0,0,1,0,0,1,0,1,1,0,0,5,39,21,2,0,2
2,BE,8,2,0,0,0,0,1,0,0,1,0,1,1,0,0,1,65,16,0,0,2
2,BE,9,1,0,1,1,0,1,0,0,1,0,1,1,0,0,7,71,21,0,0,3
2,BE,8,1,0,1,1,0,1,0,0,1,1,1,1,0,0,4,69,20,0,0,3
2,BE,9,2,0,0,0,0,0,1,1,0,0,1,1,0,0,5,69,25,0,0,3
2,BE,6,1,1,0,0,0,1,0,0,1,0,1,1,0,0,5,37,22,2,1,1
2,BE,8,2,0,1,0,0,1,0,0,1,0,1,1,0,0,5,67,17,0,0,2
2,BE,7,1,0,0,0,0,0,0,0,1,0,1,1,0,0,6,48,20,0,1,2
2,BE,6,2,0,1,0,0,0,1,0,1,1,1,1,0,0,4,81,19,0,0,3
2,BE,5,2,0,0,0,0,1,0,0,0,0,1,1,0,0,7,38,23,3,1,3
2,BE,5,2,0,0,0,0,0,0,0,1,0,1,1,0,0,7,66,21,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,83,25,0,0,3
2,BE,7,2,0,0,1,0,1,0,0,0,0,1,1,0,0,6,40,19,1,1,3
2,BE,10,2,0,0,0,0,0,0,0,0,0,1,0,0,0,97,79,14,0,0,3
2,BE,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,27,19,1,0,3
2,BE,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,97,62,16,0,0,3
2,BE,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,5,54,17,0,0,2
2,BE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,23,19,0,0,2
2,BE,7,1,0,1,1,0,1,0,0,1,0,1,1,0,0,8,63,14,0,0,3
2,BE,8,1,0,1,0,0,1,0,0,0,0,1,1,0,0,3,27,25,0,0,3
2,BE,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,86,14,0,0,3
2,BE,8,2,1,1,1,0,1,1,0,1,1,1,1,0,0,5,47,23,1,1,3
2,BE,6,1,0,1,0,0,1,0,0,1,0,1,1,0,0,5,53,19,0,0,2
2,BE,10,2,1,0,1,0,1,0,0,1,0,1,1,0,0,8,78,21,0,0,3
2,BE,10,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,71,24,0,0,3
2,BE,8,1,0,0,1,0,1,1,1,1,0,1,1,0,0,10,38,22,3,0,2
2,BE,8,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,34,20,0,1,2
2,BE,8,1,0,0,1,0,1,0,0,0,0,0,1,0,0,5,70,18,0,2,3
2,BE,8,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,51,16,0,0,2
2,BE,7,1,1,1,0,0,1,1,0,1,0,1,1,0,0,6,57,25,0,0,3
2,BE,6,2,1,0,1,0,1,0,0,0,0,0,0,0,0,5,24,17,0,0,2
2,BE,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,77,18,0,0,3
2,BE,6,2,0,1,1,0,1,0,1,0,0,1,0,0,0,6,59,23,0,0,3
2,BE,7,1,0,0,1,0,1,0,0,1,0,0,1,0,0,97,70,16,0,0,3
2,BE,8,1,0,1,0,0,0,0,0,1,0,1,1,0,0,10,51,19,0,0,2
2,BE,6,1,0,0,1,0,1,0,1,1,0,1,1,0,0,5,37,21,1,1,3
2,BE,6,1,0,0,0,0,0,0,1,1,0,1,1,0,0,4,18,98,0,1,3
2,BE,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,5,22,98,0,1,2
2,BE,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,98,48,42,2,0,2
2,BE,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,4,41,13,0,0,3
2,BE,10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,98,44,14,2,2,2
2,BE,10,1,0,0,1,0,1,0,0,0,0,0,1,0,0,98,32,24,2,0,3
2,BE,5,1,1,0,1,0,1,0,0,0,0,0,0,0,0,97,76,19,0,0,3
2,BE,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,97,57,18,0,0,3
2,BE,10,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,52,20,0,0,2
2,BE,5,1,0,1,0,0,1,0,0,1,0,1,0,0,0,97,57,18,0,0,3
2,BE,5,2,1,1,0,0,0,0,0,1,0,1,1,0,0,5,66,14,0,0,3
2,BE,6,2,1,0,0,0,1,0,0,1,0,1,1,0,0,8,73,16,0,0,3
2,BE,5,2,0,0,0,0,1,1,0,1,0,1,0,0,0,7,63,17,0,0,3
2,BE,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,50,21,0,0,3
2,BE,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,74,18,0,0,3
2,BE,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,8,79,23,0,0,3
