country,isocntry,d11,qc2,qc5,qc6.1,qc6.2,qc6.3,qc6.4,qc6.5,qc6.6,qc6.7,qc6.8,qc6.9,qc6.10,qc6.11,qc6.12,qc6.13,qc6.14,qc6.15,d1,d8,d40b,d40c,d60
2,BE,80,8,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,7,14,0,0,3
2,BE,60,10,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,97,24,0,0,3
2,BE,36,8,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,6,21,0,0,3
2,BE,56,10,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,5,18,0,0,3
2,BE,67,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,16,0,0,3
2,BE,65,6,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,7,20,0,0,3
2,BE,79,10,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,5,22,0,0,3
2,BE,20,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,98,1,1,3
2,BE,55,8,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,18,0,0,2
2,BE,71,7,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,18,0,0,3
2,BE,56,9,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,7,20,0,0,3
2,BE,75,5,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,4,18,0,0,3
2,BE,30,5,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,4,27,0,0,2
2,BE,47,10,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,5,17,0,0,1
2,BE,59,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,16,0,0,3
2,BE,52,3,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,3,21,0,0,2
